,ID,Attraction,Violation,Condition,ilm_sent_mean_surp,ilm_target_mean_surp,distilgpt2_sent_mean_surp,distilgpt2_target_mean_surp,gptneo_sent_mean_surp,gptneo_target_mean_surp,ilm_len_tokens,distilgpt2_len_tokens,gptneo_len_tokens,attraction,violation,morphosyntactic_violation,semantic_violation,morphosyntactic_attraction,semantic_attraction
46,10,none,morphosyntactic,a,7.69,15.51,8.23,16.46,6.92,12.86,9,9,9,0,1,1,0,0,0
47,10,morphosyntactic,morphosyntactic,b,7.75,13.59,8.44,13.73,6.93,10.5,9,9,9,1,1,1,0,1,0
48,10,none,semantic,c,7.19,13.23,7.58,12.33,6.74,13.66,9,9,9,0,1,0,1,0,0
49,10,semantic,semantic,d,7.01,10.75,7.63,10.81,6.35,10.89,9,9,9,1,1,0,1,0,1
50,11,none,none,s,4.71,10.62,5.99,15.34,4.72,6.99,10,10,10,0,0,0,0,0,0
51,11,none,morphosyntactic,a,5.0,13.63,6.09,16.06,5.15,11.59,10,10,10,0,1,1,0,0,0
52,11,morphosyntactic,morphosyntactic,b,5.28,11.48,6.36,15.27,5.37,9.34,10,10,10,1,1,1,0,1,0
53,11,none,semantic,c,5.12,12.04,6.18,14.64,5.51,12.63,10,10,10,0,1,0,1,0,0
54,11,semantic,semantic,d,5.67,10.91,6.94,13.62,6.18,10.7,9,9,9,1,1,0,1,0,1
55,12,none,none,s,6.7,3.78,7.51,8.12,6.62,3.67,9,9,9,0,0,0,0,0,0
56,12,none,morphosyntactic,a,7.4,12.04,8.15,16.18,7.0,9.35,9,9,9,0,1,1,0,0,0
57,12,morphosyntactic,morphosyntactic,b,6.51,8.93,6.81,9.08,6.24,8.62,10,10,10,1,1,1,0,1,0
58,12,none,semantic,c,7.13,11.71,7.78,10.81,6.55,8.18,9,9,9,0,1,0,1,0,0
59,12,semantic,semantic,d,6.27,10.73,6.69,9.26,5.45,8.47,10,10,10,1,1,0,1,0,1
60,13,none,none,s,6.49,7.45,7.08,6.77,6.1,3.36,10,10,10,0,0,0,0,0,0
61,13,none,morphosyntactic,a,6.79,9.49,7.6,9.76,6.75,7.07,10,10,10,0,1,1,0,0,0
62,13,morphosyntactic,morphosyntactic,b,6.78,9.32,7.55,8.49,6.59,6.58,10,10,10,1,1,1,0,1,0
63,13,none,semantic,c,7.16,13.03,7.82,11.51,7.28,10.18,9,9,9,0,1,0,1,0,0
64,13,semantic,semantic,d,6.89,13.65,7.43,11.98,6.81,9.94,9,9,9,1,1,0,1,0,1
65,14,none,none,s,6.13,8.94,7.24,9.42,6.51,8.23,9,9,9,0,0,0,0,0,0
66,14,none,morphosyntactic,a,7.01,18.86,7.87,18.23,7.11,15.65,9,9,9,0,1,1,0,0,0
67,14,morphosyntactic,morphosyntactic,b,7.22,16.66,7.9,14.25,7.29,14.37,9,9,9,1,1,1,0,1,0
68,14,none,semantic,c,6.04,6.14,6.87,8.16,6.23,7.89,10,10,10,0,1,0,1,0,0
69,14,semantic,semantic,d,5.62,4.98,6.12,6.01,5.71,7.75,11,11,11,1,1,0,1,0,1
70,15,none,none,s,6.76,5.77,7.75,5.64,6.62,5.72,9,9,9,0,0,0,0,0,0
71,15,none,morphosyntactic,a,8.29,18.45,9.29,17.89,7.79,15.18,8,8,8,0,1,1,0,0,0
